point,question
0,"Does the company have at least two or three years of commercial operation and one year of operating profit?"
1,"Is there not evidence of a lack of strong management sense of trusteeship for stockholders?"
2,"Does the company have products or services with sufficient market potential to make possible a sizable increase in sales for at least several years?"
3,"Does the company have an above-average sales organization?"
4,"Does the company's management have a determination to continue to develop products or processes that will sustain sales growth long after the potential of its current product lines has been exploited?"
5,"Does the company have outstanding executive relations?"
6,"Does the company have outstanding labor and personnel relations?"
7,"Does the company have a long-range outlook in regard to profits?"
8,"Does the management talk freely to investors about its affairs when things are going well AND when troubles occur?"
9,"Are there other aspects of the business, somewhat peculiar to the industry involved, which make the company outstanding relative to the competition?"
10,"In the foreseeable future will the growth of the company NOT require sufficient equity financing so that the larger number of shares then outstanding will largely cancel the existing stockholders’ benefit from this anticipated growth?"
11,"Does the company have a worthwhile operating profit margin?"
12,"Does the company have depth to its management—that is, a broad base of capable leaders, effective delegation, and a culture that develops and retains executive talent beyond one or two key individuals?"
13,"Is the company doing enough to maintain or improve profit margins?"
14,"Is the company’s financial management and skill good?"
15,"How effective are the company’s research and development efforts in relation to its size?"
16,"Is the company the lowest-cost producer, or at least on par with the lowest-cost producer, for the majority, if not all, of its product lines?"
17,"Is the company willing to change, pivot, and/or restructure itself in response to the ever-changing world around it?"
18,"Is the company’s efficiency and economies of scale sufficient to remain superior to potential new entrants? If it holds monopoly-like power, can it realistically avoid antitrust or other legal actions that would threaten its dominant position?"
