point,question
0,"Does the company have at least two or three years of commercial operation and one year of operating profit?"
1,"Are executive salaries significantly above industry norms without clear justification?"
1,"Are relatives of executives employed by the company, and if so, are they overcompensated relative to their roles?"
1,"Does management or their family own properties leased or sold to the company? Are these transactions conducted at or above market rates? Are such arrangements disclosed transparently in filings?"
1,"Do vendors or service providers have ownership or financial ties to insiders or their relatives?"
1,"Has management issued themselves stock options in excessive quantities?"
1,"Do equity grants appear misaligned with company performance or shareholder interests?"
1,"Are option grants structured to benefit insiders disproportionately?"
1,"Does management demonstrate a fiduciary attitude toward shareholders?"
1,"Are there signals (e.g., long-term stewardship, restrained compensation, transparency) of ethical governance?"
1,"Do insider trading activities (Forms 3, 4, 5) suggest opportunistic behavior?"
1,"Has leadership faced shareholder disputes?"
1,"What do competitors, suppliers, former employees, or industry peers say about the integrity of management in regards to shareholders?"
1,"Are there consistent reputational indicators of trustworthiness or lack thereof?"
2,"Is the projected sales growth a short-term phenomenon, or can it be sustained for more than just a few years? You must distinguish desirable long-term growth from a one-time profit or a sales increase that lasts only for a few years."
2,"Is the company’s growth reliant on a single product spurt, or does its management have a history of developing new product lines to create continuous growth? The best results are found in companies where growth happens in a series of more or less continuous spurts, instead of a single, isolated spurt of growth."
2,"Can the company be categorized as “fortunate and able”? This identifies if a company has the high degree of skill needed to capitalize on favorable background conditions and new markets that arise from influences completely beyond its own control."
2,"Can the company be described as “fortunate because they are able”? This identifies if a company uses its brilliant business and financial judgment teamed up with superb technical skill to successfully launch new products and create its own growth, even when its original industry has less appealing prospects."
2,"Does the company possess a high order of management ability? A high order of management ability is a must for long-term growth companies, and without it, the sales growth will not continue."
2,"If the company is in an industry subject to technological change, is the management team adept at using these changes to create future growth opportunities? Outstanding management in a technological industry can leverage its skills to build up sizable new businesses."
2,"Is the company a key supplier to a growing industry? Sometimes the most successful producer and best investment is not the maker of the end-product, but a technically proficient supplier of a key component seeing “a major source of new business”."
3,"How does the company’s sales, advertising, and distribution efficiency compare to that of its key competitors?"
3,"What is the opinion of the company’s customers and competitors regarding the effectiveness of its sales force?"
3,"Does the company make a significant and continuous investment in training its sales personnel to keep them effective and abreast of changing technology?"
4,"What is the company's stated long-term strategy for developing new products or entering new markets? A company's official strategy reveals its forward-thinking and plans for growth beyond the immediate future."
4,"Is there evidence of a continuous effort in research and development (R&D) aimed at improving existing products and creating new ones? Consistent investment and activity in R&D are tangible indicators of a commitment to developing future revenue streams."
